date_key,date_value,year,quarter,month,month_name,week_of_year,day_of_month,weekday_name,is_weekend,day_of_year
20240101,2024-01-01,2024,1,1,January,1,1,Monday,0,1
20240102,2024-01-02,2024,1,1,January,1,2,Tuesday,0,2
20240103,2024-01-03,2024,1,1,January,1,3,Wednesday,0,3
20240104,2024-01-04,2024,1,1,January,1,4,Thursday,0,4
20240105,2024-01-05,2024,1,1,January,1,5,Friday,0,5
20240106,2024-01-06,2024,1,1,January,1,6,Saturday,1,6
20240107,2024-01-07,2024,1,1,January,1,7,Sunday,1,7
20240108,2024-01-08,2024,1,1,January,2,8,Monday,0,8
20240109,2024-01-09,2024,1,1,January,2,9,Tuesday,0,9
20240110,2024-01-10,2024,1,1,January,2,10,Wednesday,0,10
20240111,2024-01-11,2024,1,1,January,2,11,Thursday,0,11
20240112,2024-01-12,2024,1,1,January,2,12,Friday,0,12
20240113,2024-01-13,2024,1,1,January,2,13,Saturday,1,13
20240114,2024-01-14,2024,1,1,January,2,14,Sunday,1,14
20240115,2024-01-15,2024,1,1,January,3,15,Monday,0,15
20240116,2024-01-16,2024,1,1,January,3,16,Tuesday,0,16
20240117,2024-01-17,2024,1,1,January,3,17,Wednesday,0,17
20240118,2024-01-18,2024,1,1,January,3,18,Thursday,0,18
20240119,2024-01-19,2024,1,1,January,3,19,Friday,0,19
20240120,2024-01-20,2024,1,1,January,3,20,Saturday,1,20
20240121,2024-01-21,2024,1,1,January,3,21,Sunday,1,21
20240122,2024-01-22,2024,1,1,January,4,22,Monday,0,22
20240123,2024-01-23,2024,1,1,January,4,23,Tuesday,0,23
20240124,2024-01-24,2024,1,1,January,4,24,Wednesday,0,24
20240125,2024-01-25,2024,1,1,January,4,25,Thursday,0,25
20240126,2024-01-26,2024,1,1,January,4,26,Friday,0,26
20240127,2024-01-27,2024,1,1,January,4,27,Saturday,1,27
20240128,2024-01-28,2024,1,1,January,4,28,Sunday,1,28
20240129,2024-01-29,2024,1,1,January,5,29,Monday,0,29
20240130,2024-01-30,2024,1,1,January,5,30,Tuesday,0,30
20240131,2024-01-31,2024,1,1,January,5,31,Wednesday,0,31
20240201,2024-02-01,2024,1,2,February,5,1,Thursday,0,32
20240202,2024-02-02,2024,1,2,February,5,2,Friday,0,33
20240203,2024-02-03,2024,1,2,February,5,3,Saturday,1,34
20240204,2024-02-04,2024,1,2,February,5,4,Sunday,1,35
20240205,2024-02-05,2024,1,2,February,6,5,Monday,0,36
20240206,2024-02-06,2024,1,2,February,6,6,Tuesday,0,37
20240207,2024-02-07,2024,1,2,February,6,7,Wednesday,0,38
20240208,2024-02-08,2024,1,2,February,6,8,Thursday,0,39
20240209,2024-02-09,2024,1,2,February,6,9,Friday,0,40
20240210,2024-02-10,2024,1,2,February,6,10,Saturday,1,41
20240211,2024-02-11,2024,1,2,February,6,11,Sunday,1,42
20240212,2024-02-12,2024,1,2,February,7,12,Monday,0,43
20240213,2024-02-13,2024,1,2,February,7,13,Tuesday,0,44
20240214,2024-02-14,2024,1,2,February,7,14,Wednesday,0,45
20240215,2024-02-15,2024,1,2,February,7,15,Thursday,0,46
20240216,2024-02-16,2024,1,2,February,7,16,Friday,0,47
20240217,2024-02-17,2024,1,2,February,7,17,Saturday,1,48
20240218,2024-02-18,2024,1,2,February,7,18,Sunday,1,49
20240219,2024-02-19,2024,1,2,February,8,19,Monday,0,50
20240220,2024-02-20,2024,1,2,February,8,20,Tuesday,0,51
20240221,2024-02-21,2024,1,2,February,8,21,Wednesday,0,52
20240222,2024-02-22,2024,1,2,February,8,22,Thursday,0,53
20240223,2024-02-23,2024,1,2,February,8,23,Friday,0,54
20240224,2024-02-24,2024,1,2,February,8,24,Saturday,1,55
20240225,2024-02-25,2024,1,2,February,8,25,Sunday,1,56
20240226,2024-02-26,2024,1,2,February,9,26,Monday,0,57
20240227,2024-02-27,2024,1,2,February,9,27,Tuesday,0,58
20240228,2024-02-28,2024,1,2,February,9,28,Wednesday,0,59
20240229,2024-02-29,2024,1,2,February,9,29,Thursday,0,60
20240301,2024-03-01,2024,1,3,March,9,1,Friday,0,61
20240302,2024-03-02,2024,1,3,March,9,2,Saturday,1,62
20240303,2024-03-03,2024,1,3,March,9,3,Sunday,1,63
20240304,2024-03-04,2024,1,3,March,10,4,Monday,0,64
20240305,2024-03-05,2024,1,3,March,10,5,Tuesday,0,65
20240306,2024-03-06,2024,1,3,March,10,6,Wednesday,0,66
20240307,2024-03-07,2024,1,3,March,10,7,Thursday,0,67
20240308,2024-03-08,2024,1,3,March,10,8,Friday,0,68
20240309,2024-03-09,2024,1,3,March,10,9,Saturday,1,69
20240310,2024-03-10,2024,1,3,March,10,10,Sunday,1,70
20240311,2024-03-11,2024,1,3,March,11,11,Monday,0,71
20240312,2024-03-12,2024,1,3,March,11,12,Tuesday,0,72
20240313,2024-03-13,2024,1,3,March,11,13,Wednesday,0,73
20240314,2024-03-14,2024,1,3,March,11,14,Thursday,0,74
20240315,2024-03-15,2024,1,3,March,11,15,Friday,0,75
20240316,2024-03-16,2024,1,3,March,11,16,Saturday,1,76
20240317,2024-03-17,2024,1,3,March,11,17,Sunday,1,77
20240318,2024-03-18,2024,1,3,March,12,18,Monday,0,78
20240319,2024-03-19,2024,1,3,March,12,19,Tuesday,0,79
20240320,2024-03-20,2024,1,3,March,12,20,Wednesday,0,80
20240321,2024-03-21,2024,1,3,March,12,21,Thursday,0,81
20240322,2024-03-22,2024,1,3,March,12,22,Friday,0,82
20240323,2024-03-23,2024,1,3,March,12,23,Saturday,1,83
20240324,2024-03-24,2024,1,3,March,12,24,Sunday,1,84
20240325,2024-03-25,2024,1,3,March,13,25,Monday,0,85
20240326,2024-03-26,2024,1,3,March,13,26,Tuesday,0,86
20240327,2024-03-27,2024,1,3,March,13,27,Wednesday,0,87
20240328,2024-03-28,2024,1,3,March,13,28,Thursday,0,88
20240329,2024-03-29,2024,1,3,March,13,29,Friday,0,89
20240330,2024-03-30,2024,1,3,March,13,30,Saturday,1,90
20240331,2024-03-31,2024,1,3,March,13,31,Sunday,1,91
20240401,2024-04-01,2024,2,4,April,14,1,Monday,0,92
20240402,2024-04-02,2024,2,4,April,14,2,Tuesday,0,93
20240403,2024-04-03,2024,2,4,April,14,3,Wednesday,0,94
20240404,2024-04-04,2024,2,4,April,14,4,Thursday,0,95
20240405,2024-04-05,2024,2,4,April,14,5,Friday,0,96
20240406,2024-04-06,2024,2,4,April,14,6,Saturday,1,97
20240407,2024-04-07,2024,2,4,April,14,7,Sunday,1,98
20240408,2024-04-08,2024,2,4,April,15,8,Monday,0,99
20240409,2024-04-09,2024,2,4,April,15,9,Tuesday,0,100
20240410,2024-04-10,2024,2,4,April,15,10,Wednesday,0,101
20240411,2024-04-11,2024,2,4,April,15,11,Thursday,0,102
20240412,2024-04-12,2024,2,4,April,15,12,Friday,0,103
20240413,2024-04-13,2024,2,4,April,15,13,Saturday,1,104
20240414,2024-04-14,2024,2,4,April,15,14,Sunday,1,105
20240415,2024-04-15,2024,2,4,April,16,15,Monday,0,106
20240416,2024-04-16,2024,2,4,April,16,16,Tuesday,0,107
20240417,2024-04-17,2024,2,4,April,16,17,Wednesday,0,108
20240418,2024-04-18,2024,2,4,April,16,18,Thursday,0,109
20240419,2024-04-19,2024,2,4,April,16,19,Friday,0,110
20240420,2024-04-20,2024,2,4,April,16,20,Saturday,1,111
20240421,2024-04-21,2024,2,4,April,16,21,Sunday,1,112
20240422,2024-04-22,2024,2,4,April,17,22,Monday,0,113
20240423,2024-04-23,2024,2,4,April,17,23,Tuesday,0,114
20240424,2024-04-24,2024,2,4,April,17,24,Wednesday,0,115
20240425,2024-04-25,2024,2,4,April,17,25,Thursday,0,116
20240426,2024-04-26,2024,2,4,April,17,26,Friday,0,117
20240427,2024-04-27,2024,2,4,April,17,27,Saturday,1,118
20240428,2024-04-28,2024,2,4,April,17,28,Sunday,1,119
20240429,2024-04-29,2024,2,4,April,18,29,Monday,0,120
20240430,2024-04-30,2024,2,4,April,18,30,Tuesday,0,121
20240501,2024-05-01,2024,2,5,May,18,1,Wednesday,0,122
20240502,2024-05-02,2024,2,5,May,18,2,Thursday,0,123
20240503,2024-05-03,2024,2,5,May,18,3,Friday,0,124
20240504,2024-05-04,2024,2,5,May,18,4,Saturday,1,125
20240505,2024-05-05,2024,2,5,May,18,5,Sunday,1,126
20240506,2024-05-06,2024,2,5,May,19,6,Monday,0,127
20240507,2024-05-07,2024,2,5,May,19,7,Tuesday,0,128
20240508,2024-05-08,2024,2,5,May,19,8,Wednesday,0,129
20240509,2024-05-09,2024,2,5,May,19,9,Thursday,0,130
20240510,2024-05-10,2024,2,5,May,19,10,Friday,0,131
20240511,2024-05-11,2024,2,5,May,19,11,Saturday,1,132
20240512,2024-05-12,2024,2,5,May,19,12,Sunday,1,133
20240513,2024-05-13,2024,2,5,May,20,13,Monday,0,134
20240514,2024-05-14,2024,2,5,May,20,14,Tuesday,0,135
20240515,2024-05-15,2024,2,5,May,20,15,Wednesday,0,136
20240516,2024-05-16,2024,2,5,May,20,16,Thursday,0,137
20240517,2024-05-17,2024,2,5,May,20,17,Friday,0,138
20240518,2024-05-18,2024,2,5,May,20,18,Saturday,1,139
20240519,2024-05-19,2024,2,5,May,20,19,Sunday,1,140
20240520,2024-05-20,2024,2,5,May,21,20,Monday,0,141
20240521,2024-05-21,2024,2,5,May,21,21,Tuesday,0,142
20240522,2024-05-22,2024,2,5,May,21,22,Wednesday,0,143
20240523,2024-05-23,2024,2,5,May,21,23,Thursday,0,144
20240524,2024-05-24,2024,2,5,May,21,24,Friday,0,145
20240525,2024-05-25,2024,2,5,May,21,25,Saturday,1,146
20240526,2024-05-26,2024,2,5,May,21,26,Sunday,1,147
20240527,2024-05-27,2024,2,5,May,22,27,Monday,0,148
20240528,2024-05-28,2024,2,5,May,22,28,Tuesday,0,149
20240529,2024-05-29,2024,2,5,May,22,29,Wednesday,0,150
20240530,2024-05-30,2024,2,5,May,22,30,Thursday,0,151
20240531,2024-05-31,2024,2,5,May,22,31,Friday,0,152
20240601,2024-06-01,2024,2,6,June,22,1,Saturday,1,153
20240602,2024-06-02,2024,2,6,June,22,2,Sunday,1,154
20240603,2024-06-03,2024,2,6,June,23,3,Monday,0,155
20240604,2024-06-04,2024,2,6,June,23,4,Tuesday,0,156
20240605,2024-06-05,2024,2,6,June,23,5,Wednesday,0,157
20240606,2024-06-06,2024,2,6,June,23,6,Thursday,0,158
20240607,2024-06-07,2024,2,6,June,23,7,Friday,0,159
20240608,2024-06-08,2024,2,6,June,23,8,Saturday,1,160
20240609,2024-06-09,2024,2,6,June,23,9,Sunday,1,161
20240610,2024-06-10,2024,2,6,June,24,10,Monday,0,162
20240611,2024-06-11,2024,2,6,June,24,11,Tuesday,0,163
20240612,2024-06-12,2024,2,6,June,24,12,Wednesday,0,164
20240613,2024-06-13,2024,2,6,June,24,13,Thursday,0,165
20240614,2024-06-14,2024,2,6,June,24,14,Friday,0,166
20240615,2024-06-15,2024,2,6,June,24,15,Saturday,1,167
20240616,2024-06-16,2024,2,6,June,24,16,Sunday,1,168
20240617,2024-06-17,2024,2,6,June,25,17,Monday,0,169
20240618,2024-06-18,2024,2,6,June,25,18,Tuesday,0,170
20240619,2024-06-19,2024,2,6,June,25,19,Wednesday,0,171
20240620,2024-06-20,2024,2,6,June,25,20,Thursday,0,172
20240621,2024-06-21,2024,2,6,June,25,21,Friday,0,173
20240622,2024-06-22,2024,2,6,June,25,22,Saturday,1,174
20240623,2024-06-23,2024,2,6,June,25,23,Sunday,1,175
20240624,2024-06-24,2024,2,6,June,26,24,Monday,0,176
20240625,2024-06-25,2024,2,6,June,26,25,Tuesday,0,177
20240626,2024-06-26,2024,2,6,June,26,26,Wednesday,0,178
20240627,2024-06-27,2024,2,6,June,26,27,Thursday,0,179
20240628,2024-06-28,2024,2,6,June,26,28,Friday,0,180
20240629,2024-06-29,2024,2,6,June,26,29,Saturday,1,181
20240630,2024-06-30,2024,2,6,June,26,30,Sunday,1,182
20240701,2024-07-01,2024,3,7,July,27,1,Monday,0,183
20240702,2024-07-02,2024,3,7,July,27,2,Tuesday,0,184
20240703,2024-07-03,2024,3,7,July,27,3,Wednesday,0,185
20240704,2024-07-04,2024,3,7,July,27,4,Thursday,0,186
20240705,2024-07-05,2024,3,7,July,27,5,Friday,0,187
20240706,2024-07-06,2024,3,7,July,27,6,Saturday,1,188
20240707,2024-07-07,2024,3,7,July,27,7,Sunday,1,189
20240708,2024-07-08,2024,3,7,July,28,8,Monday,0,190
20240709,2024-07-09,2024,3,7,July,28,9,Tuesday,0,191
20240710,2024-07-10,2024,3,7,July,28,10,Wednesday,0,192
20240711,2024-07-11,2024,3,7,July,28,11,Thursday,0,193
20240712,2024-07-12,2024,3,7,July,28,12,Friday,0,194
20240713,2024-07-13,2024,3,7,July,28,13,Saturday,1,195
20240714,2024-07-14,2024,3,7,July,28,14,Sunday,1,196
20240715,2024-07-15,2024,3,7,July,29,15,Monday,0,197
20240716,2024-07-16,2024,3,7,July,29,16,Tuesday,0,198
20240717,2024-07-17,2024,3,7,July,29,17,Wednesday,0,199
20240718,2024-07-18,2024,3,7,July,29,18,Thursday,0,200
20240719,2024-07-19,2024,3,7,July,29,19,Friday,0,201
20240720,2024-07-20,2024,3,7,July,29,20,Saturday,1,202
20240721,2024-07-21,2024,3,7,July,29,21,Sunday,1,203
20240722,2024-07-22,2024,3,7,July,30,22,Monday,0,204
20240723,2024-07-23,2024,3,7,July,30,23,Tuesday,0,205
20240724,2024-07-24,2024,3,7,July,30,24,Wednesday,0,206
20240725,2024-07-25,2024,3,7,July,30,25,Thursday,0,207
20240726,2024-07-26,2024,3,7,July,30,26,Friday,0,208
20240727,2024-07-27,2024,3,7,July,30,27,Saturday,1,209
20240728,2024-07-28,2024,3,7,July,30,28,Sunday,1,210
20240729,2024-07-29,2024,3,7,July,31,29,Monday,0,211
20240730,2024-07-30,2024,3,7,July,31,30,Tuesday,0,212
20240731,2024-07-31,2024,3,7,July,31,31,Wednesday,0,213
20240801,2024-08-01,2024,3,8,August,31,1,Thursday,0,214
20240802,2024-08-02,2024,3,8,August,31,2,Friday,0,215
20240803,2024-08-03,2024,3,8,August,31,3,Saturday,1,216
20240804,2024-08-04,2024,3,8,August,31,4,Sunday,1,217
20240805,2024-08-05,2024,3,8,August,32,5,Monday,0,218
20240806,2024-08-06,2024,3,8,August,32,6,Tuesday,0,219
20240807,2024-08-07,2024,3,8,August,32,7,Wednesday,0,220
20240808,2024-08-08,2024,3,8,August,32,8,Thursday,0,221
20240809,2024-08-09,2024,3,8,August,32,9,Friday,0,222
20240810,2024-08-10,2024,3,8,August,32,10,Saturday,1,223
20240811,2024-08-11,2024,3,8,August,32,11,Sunday,1,224
20240812,2024-08-12,2024,3,8,August,33,12,Monday,0,225
20240813,2024-08-13,2024,3,8,August,33,13,Tuesday,0,226
20240814,2024-08-14,2024,3,8,August,33,14,Wednesday,0,227
20240815,2024-08-15,2024,3,8,August,33,15,Thursday,0,228
20240816,2024-08-16,2024,3,8,August,33,16,Friday,0,229
20240817,2024-08-17,2024,3,8,August,33,17,Saturday,1,230
20240818,2024-08-18,2024,3,8,August,33,18,Sunday,1,231
20240819,2024-08-19,2024,3,8,August,34,19,Monday,0,232
20240820,2024-08-20,2024,3,8,August,34,20,Tuesday,0,233
20240821,2024-08-21,2024,3,8,August,34,21,Wednesday,0,234
20240822,2024-08-22,2024,3,8,August,34,22,Thursday,0,235
20240823,2024-08-23,2024,3,8,August,34,23,Friday,0,236
20240824,2024-08-24,2024,3,8,August,34,24,Saturday,1,237
20240825,2024-08-25,2024,3,8,August,34,25,Sunday,1,238
20240826,2024-08-26,2024,3,8,August,35,26,Monday,0,239
20240827,2024-08-27,2024,3,8,August,35,27,Tuesday,0,240
20240828,2024-08-28,2024,3,8,August,35,28,Wednesday,0,241
20240829,2024-08-29,2024,3,8,August,35,29,Thursday,0,242
20240830,2024-08-30,2024,3,8,August,35,30,Friday,0,243
20240831,2024-08-31,2024,3,8,August,35,31,Saturday,1,244
20240901,2024-09-01,2024,3,9,September,35,1,Sunday,1,245
20240902,2024-09-02,2024,3,9,September,36,2,Monday,0,246
20240903,2024-09-03,2024,3,9,September,36,3,Tuesday,0,247
20240904,2024-09-04,2024,3,9,September,36,4,Wednesday,0,248
20240905,2024-09-05,2024,3,9,September,36,5,Thursday,0,249
20240906,2024-09-06,2024,3,9,September,36,6,Friday,0,250
20240907,2024-09-07,2024,3,9,September,36,7,Saturday,1,251
20240908,2024-09-08,2024,3,9,September,36,8,Sunday,1,252
20240909,2024-09-09,2024,3,9,September,37,9,Monday,0,253
20240910,2024-09-10,2024,3,9,September,37,10,Tuesday,0,254
20240911,2024-09-11,2024,3,9,September,37,11,Wednesday,0,255
20240912,2024-09-12,2024,3,9,September,37,12,Thursday,0,256
20240913,2024-09-13,2024,3,9,September,37,13,Friday,0,257
20240914,2024-09-14,2024,3,9,September,37,14,Saturday,1,258
20240915,2024-09-15,2024,3,9,September,37,15,Sunday,1,259
20240916,2024-09-16,2024,3,9,September,38,16,Monday,0,260
20240917,2024-09-17,2024,3,9,September,38,17,Tuesday,0,261
20240918,2024-09-18,2024,3,9,September,38,18,Wednesday,0,262
20240919,2024-09-19,2024,3,9,September,38,19,Thursday,0,263
20240920,2024-09-20,2024,3,9,September,38,20,Friday,0,264
20240921,2024-09-21,2024,3,9,September,38,21,Saturday,1,265
20240922,2024-09-22,2024,3,9,September,38,22,Sunday,1,266
20240923,2024-09-23,2024,3,9,September,39,23,Monday,0,267
20240924,2024-09-24,2024,3,9,September,39,24,Tuesday,0,268
20240925,2024-09-25,2024,3,9,September,39,25,Wednesday,0,269
20240926,2024-09-26,2024,3,9,September,39,26,Thursday,0,270
20240927,2024-09-27,2024,3,9,September,39,27,Friday,0,271
20240928,2024-09-28,2024,3,9,September,39,28,Saturday,1,272
20240929,2024-09-29,2024,3,9,September,39,29,Sunday,1,273
20240930,2024-09-30,2024,3,9,September,40,30,Monday,0,274
20241001,2024-10-01,2024,4,10,October,40,1,Tuesday,0,275
20241002,2024-10-02,2024,4,10,October,40,2,Wednesday,0,276
20241003,2024-10-03,2024,4,10,October,40,3,Thursday,0,277
20241004,2024-10-04,2024,4,10,October,40,4,Friday,0,278
20241005,2024-10-05,2024,4,10,October,40,5,Saturday,1,279
20241006,2024-10-06,2024,4,10,October,40,6,Sunday,1,280
20241007,2024-10-07,2024,4,10,October,41,7,Monday,0,281
20241008,2024-10-08,2024,4,10,October,41,8,Tuesday,0,282
20241009,2024-10-09,2024,4,10,October,41,9,Wednesday,0,283
20241010,2024-10-10,2024,4,10,October,41,10,Thursday,0,284
20241011,2024-10-11,2024,4,10,October,41,11,Friday,0,285
20241012,2024-10-12,2024,4,10,October,41,12,Saturday,1,286
20241013,2024-10-13,2024,4,10,October,41,13,Sunday,1,287
20241014,2024-10-14,2024,4,10,October,42,14,Monday,0,288
20241015,2024-10-15,2024,4,10,October,42,15,Tuesday,0,289
20241016,2024-10-16,2024,4,10,October,42,16,Wednesday,0,290
20241017,2024-10-17,2024,4,10,October,42,17,Thursday,0,291
20241018,2024-10-18,2024,4,10,October,42,18,Friday,0,292
20241019,2024-10-19,2024,4,10,October,42,19,Saturday,1,293
20241020,2024-10-20,2024,4,10,October,42,20,Sunday,1,294
20241021,2024-10-21,2024,4,10,October,43,21,Monday,0,295
20241022,2024-10-22,2024,4,10,October,43,22,Tuesday,0,296
20241023,2024-10-23,2024,4,10,October,43,23,Wednesday,0,297
20241024,2024-10-24,2024,4,10,October,43,24,Thursday,0,298
20241025,2024-10-25,2024,4,10,October,43,25,Friday,0,299
20241026,2024-10-26,2024,4,10,October,43,26,Saturday,1,300
20241027,2024-10-27,2024,4,10,October,43,27,Sunday,1,301
20241028,2024-10-28,2024,4,10,October,44,28,Monday,0,302
20241029,2024-10-29,2024,4,10,October,44,29,Tuesday,0,303
20241030,2024-10-30,2024,4,10,October,44,30,Wednesday,0,304
20241031,2024-10-31,2024,4,10,October,44,31,Thursday,0,305
20241101,2024-11-01,2024,4,11,November,44,1,Friday,0,306
20241102,2024-11-02,2024,4,11,November,44,2,Saturday,1,307
20241103,2024-11-03,2024,4,11,November,44,3,Sunday,1,308
20241104,2024-11-04,2024,4,11,November,45,4,Monday,0,309
20241105,2024-11-05,2024,4,11,November,45,5,Tuesday,0,310
20241106,2024-11-06,2024,4,11,November,45,6,Wednesday,0,311
20241107,2024-11-07,2024,4,11,November,45,7,Thursday,0,312
20241108,2024-11-08,2024,4,11,November,45,8,Friday,0,313
20241109,2024-11-09,2024,4,11,November,45,9,Saturday,1,314
20241110,2024-11-10,2024,4,11,November,45,10,Sunday,1,315
20241111,2024-11-11,2024,4,11,November,46,11,Monday,0,316
20241112,2024-11-12,2024,4,11,November,46,12,Tuesday,0,317
20241113,2024-11-13,2024,4,11,November,46,13,Wednesday,0,318
20241114,2024-11-14,2024,4,11,November,46,14,Thursday,0,319
20241115,2024-11-15,2024,4,11,November,46,15,Friday,0,320
20241116,2024-11-16,2024,4,11,November,46,16,Saturday,1,321
20241117,2024-11-17,2024,4,11,November,46,17,Sunday,1,322
20241118,2024-11-18,2024,4,11,November,47,18,Monday,0,323
20241119,2024-11-19,2024,4,11,November,47,19,Tuesday,0,324
20241120,2024-11-20,2024,4,11,November,47,20,Wednesday,0,325
20241121,2024-11-21,2024,4,11,November,47,21,Thursday,0,326
20241122,2024-11-22,2024,4,11,November,47,22,Friday,0,327
20241123,2024-11-23,2024,4,11,November,47,23,Saturday,1,328
20241124,2024-11-24,2024,4,11,November,47,24,Sunday,1,329
20241125,2024-11-25,2024,4,11,November,48,25,Monday,0,330
20241126,2024-11-26,2024,4,11,November,48,26,Tuesday,0,331
20241127,2024-11-27,2024,4,11,November,48,27,Wednesday,0,332
20241128,2024-11-28,2024,4,11,November,48,28,Thursday,0,333
20241129,2024-11-29,2024,4,11,November,48,29,Friday,0,334
20241130,2024-11-30,2024,4,11,November,48,30,Saturday,1,335
20241201,2024-12-01,2024,4,12,December,48,1,Sunday,1,336
20241202,2024-12-02,2024,4,12,December,49,2,Monday,0,337
20241203,2024-12-03,2024,4,12,December,49,3,Tuesday,0,338
20241204,2024-12-04,2024,4,12,December,49,4,Wednesday,0,339
20241205,2024-12-05,2024,4,12,December,49,5,Thursday,0,340
20241206,2024-12-06,2024,4,12,December,49,6,Friday,0,341
20241207,2024-12-07,2024,4,12,December,49,7,Saturday,1,342
20241208,2024-12-08,2024,4,12,December,49,8,Sunday,1,343
20241209,2024-12-09,2024,4,12,December,50,9,Monday,0,344
20241210,2024-12-10,2024,4,12,December,50,10,Tuesday,0,345
20241211,2024-12-11,2024,4,12,December,50,11,Wednesday,0,346
20241212,2024-12-12,2024,4,12,December,50,12,Thursday,0,347
20241213,2024-12-13,2024,4,12,December,50,13,Friday,0,348
20241214,2024-12-14,2024,4,12,December,50,14,Saturday,1,349
20241215,2024-12-15,2024,4,12,December,50,15,Sunday,1,350
20241216,2024-12-16,2024,4,12,December,51,16,Monday,0,351
20241217,2024-12-17,2024,4,12,December,51,17,Tuesday,0,352
20241218,2024-12-18,2024,4,12,December,51,18,Wednesday,0,353
20241219,2024-12-19,2024,4,12,December,51,19,Thursday,0,354
20241220,2024-12-20,2024,4,12,December,51,20,Friday,0,355
20241221,2024-12-21,2024,4,12,December,51,21,Saturday,1,356
20241222,2024-12-22,2024,4,12,December,51,22,Sunday,1,357
20241223,2024-12-23,2024,4,12,December,52,23,Monday,0,358
20241224,2024-12-24,2024,4,12,December,52,24,Tuesday,0,359
20241225,2024-12-25,2024,4,12,December,52,25,Wednesday,0,360
20241226,2024-12-26,2024,4,12,December,52,26,Thursday,0,361
20241227,2024-12-27,2024,4,12,December,52,27,Friday,0,362
20241228,2024-12-28,2024,4,12,December,52,28,Saturday,1,363
20241229,2024-12-29,2024,4,12,December,52,29,Sunday,1,364
